,Domain,Phylum,Class,Order,Family,Genus
OTU662,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,__
OTU663,d__Bacteria,p__Cyanobacteria,c__Vampirivibrionia,o__Vampirovibrionales,f__Vampirovibrionales,g__Vampirovibrionales
OTU664,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,__
OTU665,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Promicromonosporaceae,g__Isoptericola
OTU666,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Prosthecobacter
OTU667,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,__,__
OTU668,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Nostoc_PCC-7524
OTU669,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Solibacillus
OTU670,d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus
OTU671,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas
OTU672,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Saccharopolyspora
OTU673,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcales-Tissierellales,g__Tepidimicrobium
OTU674,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Larkinella
OTU675,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Edaphobaculum
OTU676,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__Babeliales,g__Babeliales
OTU677,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__UBA12409,g__UBA12409
OTU678,d__Bacteria,p__Desulfobacterota,c__Desulfuromonadia,o__Geobacterales,f__Geobacteraceae,__
OTU679,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Taibaiella
OTU680,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,g__UCG-012
OTU681,d__Bacteria,p__Firmicutes,c__Limnochordia,o__M55-D21,f__M55-D21,g__M55-D21
OTU682,d__Bacteria,p__Gemmatimonadota,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,__
OTU683,d__Bacteria,p__Elusimicrobiota,c__Endomicrobia,o__Endomicrobiales,f__Endomicrobiaceae,g__Endomicrobium
OTU684,d__Bacteria,p__Acidobacteriota,c__Subgroup_20,o__Subgroup_20,f__Subgroup_20,g__Subgroup_20
OTU685,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Candidatus_Soleaferrea
OTU686,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae,g__uncultured
OTU687,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Pseudoflavitalea
OTU688,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,__,__
OTU689,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Spirochaeta_2
OTU690,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Catenulisporales,f__Actinospicaceae,g__Actinospica
OTU691,d__Bacteria,p__Desulfobacterota,c__Desulfuromonadia,o__Geobacterales,f__Geobacteraceae,g__Citrifermentans
OTU692,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium
OTU693,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria,f__Gammaproteobacteria,g__Gammaproteobacteria
OTU694,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__WWH38,g__WWH38
OTU695,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__uncultured
OTU696,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylomonadaceae,__
OTU697,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Piscinibacter
OTU698,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__Thermomicrobiaceae,__
OTU699,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Achromobacter
OTU700,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Caloramatoraceae,g__Fonticella
OTU701,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__uncultured
OTU702,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__Methylobacillus
OTU703,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,__,__
OTU704,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Solitalea
OTU705,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Epulopiscium
OTU706,d__Bacteria,p__Firmicutes,c__Moorellia,o__Desulfitibacterales,f__Desulfitibacteraceae,g__Desulfitibacter
OTU707,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Caloramatoraceae,g__uncultured
OTU708,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavihumibacter
OTU709,d__Bacteria,p__Zixibacteria,c__Zixibacteria,o__Zixibacteria,f__Zixibacteria,g__Zixibacteria
OTU710,d__Bacteria,p__Firmicutes,c__Bacilli,o__Alicyclobacillales,f__Alicyclobacillaceae,g__Alicyclobacillus
OTU711,d__Bacteria,p__Gemmatimonadota,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,g__Longimicrobium
OTU712,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeales,g__Micrarchaeales
OTU713,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium
OTU714,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_12
OTU715,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Roseateles
OTU716,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Dinghuibacter
OTU717,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Subgroup_15,f__Subgroup_15,g__Subgroup_15
OTU718,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__OPB41,f__OPB41,g__OPB41
OTU719,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__CPla-3_termite_group,g__CPla-3_termite_group
OTU720,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,g__Pasteuria
OTU721,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Thermobacillus
OTU722,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Ammoniibacillus
OTU723,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__Unknown_Family,g__Unknown_Family
OTU724,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Hydrogenophilaceae,g__Thiobacillus
OTU725,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__JGI_0001001-H03
OTU726,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__uncultured
OTU727,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiales_Incertae_Sedis,g__Motilibacter
OTU728,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Ga0077536,f__Ga0077536,g__Ga0077536
OTU729,d__Bacteria,p__Patescibacteria,c__Parcubacteria,o__Candidatus_Doudnabacteria,f__Candidatus_Doudnabacteria,g__Candidatus_Doudnabacteria
OTU730,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Cryptosporangiaceae,g__Cryptosporangium
OTU731,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__S-BQ2-57_soil_group,f__S-BQ2-57_soil_group,g__S-BQ2-57_soil_group
OTU732,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Terrimicrobiaceae,g__Terrimicrobium
OTU733,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Actinorhabdospora
OTU734,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nitrosococcales,f__Nitrosococcaceae,g__3PJM14
OTU735,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__AB1,g__AB1
OTU736,d__Bacteria,p__Desulfobacterota,c__Desulfobulbia,o__Desulfobulbales,f__Desulfobulbaceae,g__Desulfobulbus
OTU737,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_5
OTU738,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,__
OTU739,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Fluviicola
OTU740,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Parasegetibacter
OTU741,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__Unknown_Family,g__Candidatus_Berkiella
OTU742,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Magnetospirillaceae,__
OTU743,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Gracilibacteraceae,g__Lutispora
OTU744,d__Bacteria,p__Dadabacteria,c__Dadabacteriia,o__Dadabacteriales,f__Dadabacteriales,g__Dadabacteriales
OTU745,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__Ellin517
OTU746,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__966-1
OTU747,d__Bacteria,p__Chloroflexi,c__SHA-26,o__SHA-26,f__SHA-26,g__SHA-26
OTU748,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__alphaI_cluster
OTU749,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__Myxococcus
OTU750,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcales-Tissierellales,g__Alkaliphilus
OTU751,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__Methylotenera
OTU752,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cytophagaceae,g__Cytophaga
OTU753,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Cylindrospermum_PCC-7417
OTU754,d__Bacteria,p__Firmicutes,c__Desulfitobacteriia,o__Desulfitobacteriales,f__Desulfitobacteriaceae,g__Desulfosporosinus
OTU755,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,__,__
OTU756,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__Ilumatobacteraceae
OTU757,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__JCM_18997
OTU758,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Arcticibacter
OTU759,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Gallionellaceae,g__Sideroxydans
OTU760,d__Bacteria,p__Myxococcota,c__Polyangia,o__Nannocystales,f__Nannocystaceae,__
OTU761,d__Bacteria,p__Firmicutes,c__BRH-c20a,o__BRH-c20a,f__BRH-c20a,g__BRH-c20a
OTU762,d__Bacteria,p__Desulfobacterota,c__Desulfuromonadia,__,__,__
OTU763,d__Bacteria,p__Firmicutes,c__Desulfitobacteriia,o__Desulfitobacteriales,__,__
OTU764,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__DEV007,g__DEV007
OTU765,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,g__Anaerobacterium
OTU766,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Leptothrix
OTU767,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Caldibacillus
OTU768,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae,__
OTU769,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Camelimonas
OTU770,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Ancylobacter
OTU771,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__OLB13
OTU772,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae,g__Fontimonas
OTU773,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Lysinibacillus
OTU774,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,__
OTU775,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__Microgenomatia,f__Microgenomatia,g__Microgenomatia
OTU776,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__Candidatus_Protochlamydia
OTU777,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Euzebyales,f__Euzebyaceae,g__Egibacter
OTU778,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,g__Novibacillus
OTU779,d__Bacteria,p__WS4,c__WS4,o__WS4,f__WS4,g__WS4
OTU780,d__Bacteria,p__Desulfobacterota,c__Desulfuromonadia,o__Geobacterales,__,__
OTU781,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__Desulfosarcinaceae,g__Sva0081_sediment_group
OTU782,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Thermomonosporaceae,g__Actinoallomurus
OTU783,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium
OTU784,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Siccirubricoccus
OTU785,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sandaracinobacter
OTU786,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured
OTU787,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_vadinBB60_group,f__Clostridia_vadinBB60_group,g__Clostridia_vadinBB60_group
OTU788,d__Bacteria,p__Verrucomicrobiota,c__Omnitrophia,o__Omnitrophales,f__Omnitrophaceae,g__Candidatus_Omnitrophus
OTU789,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Xanthobacteraceae
OTU790,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae,g__Panacagrimonas
OTU791,d__Bacteria,p__Patescibacteria,c__Parcubacteria,o__Candidatus_Terrybacteria,f__Candidatus_Terrybacteria,g__Candidatus_Terrybacteria
OTU792,d__Bacteria,p__Myxococcota,c__Polyangia,o__Nannocystales,f__Nannocystaceae,g__Pseudenhygromyxa
OTU793,d__Bacteria,p__Elusimicrobiota,__,__,__,__
OTU794,d__Bacteria,p__Halanaerobiaeota,c__Halanaerobiia,o__Halanaerobiales,f__Halanaerobiaceae,g__Halocella
OTU795,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Ferrovibrionales,f__Ferrovibrionaceae,g__Ferrovibrio
OTU796,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,__,__
OTU797,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,g__Risungbinella
OTU798,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Cavicella
OTU799,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__UCG-010,g__UCG-010
OTU800,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Woeseiaceae,g__Woeseia
OTU801,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Frankiaceae,__
OTU802,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionicicella
OTU803,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Halieaceae,__
OTU804,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,__
OTU805,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Nitrosarchaeum
OTU806,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Sanguibacteraceae,g__Sanguibacter
OTU807,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Actinopolymorpha
OTU808,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineae,f__Anaerolineae,g__Anaerolineae
OTU809,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Gracilibacteraceae,g__uncultured
OTU810,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Group_1.1c,f__Group_1.1c,g__Group_1.1c
OTU811,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__uncultured
OTU812,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Parafilimonas
OTU813,d__Bacteria,p__Nitrospirota,c__Leptospirillia,o__Leptospirillales,f__Leptospirillaceae,g__Leptospirillum
OTU814,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,g__Seinonella
OTU815,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,__,__
OTU816,d__Bacteria,p__Firmicutes,c__Limnochordia,__,__,__
OTU817,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,__,__
OTU818,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__P3OB-51
OTU819,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Paenarthrobacter
OTU820,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Cellvibrionaceae,g__Cellvibrio
OTU821,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Kaistiaceae,g__Kaistia
OTU822,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Psychrobacillus
OTU823,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,__,__
OTU824,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Magnetospirillaceae,g__Magnetospirillum
OTU825,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus
OTU826,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Saccharomonospora
OTU827,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanosarciniales,f__Methanosarcinaceae,g__Methanosarcina
OTU828,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__Elsteraceae,g__uncultured
OTU829,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__Unknown_Family,__
OTU830,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__Longivirga
OTU831,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__EF100-94H03,g__EF100-94H03
OTU832,d__Bacteria,p__Patescibacteria,c__WWE3,o__WWE3,f__WWE3,g__Acetivibrio
OTU833,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__Oikopleura
OTU834,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Aureimonas
OTU835,d__Bacteria,p__Firmicutes,c__Limnochordia,o__Limnochordales,f__Limnochordaceae,g__Limnochorda
OTU836,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__RF39,g__RF39
OTU837,d__Bacteria,p__Patescibacteria,c__Kazania,o__Kazania,f__Kazania,g__Kazania
OTU838,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__Rickettsia
OTU839,d__Bacteria,p__Desulfobacterota,c__Desulfuromonadia,o__Bradymonadales,f__Bradymonadales,g__Bradymonadales
OTU840,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,__
OTU841,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,__
OTU842,d__Bacteria,p__Patescibacteria,c__Berkelbacteria,o__Berkelbacteria,f__Berkelbacteria,g__Berkelbacteria
OTU843,d__Bacteria,p__Myxococcota,c__Polyangia,o__VHS-B3-70,f__VHS-B3-70,g__VHS-B3-70
OTU844,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Smaragdicoccus
OTU845,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus_Koribacter
OTU846,d__Bacteria,p__Planctomycetota,c__vadinHA49,o__vadinHA49,f__vadinHA49,g__vadinHA49
OTU847,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,__
OTU848,d__Bacteria,p__Firmicutes,c__Clostridia,o__uncultured,f__uncultured,g__uncultured
OTU849,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_15
OTU850,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Algoriphagus
OTU851,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Geobacillus
OTU852,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__Candidatus_Levybacteria,f__Candidatus_Levybacteria,g__Candidatus_Levybacteria
OTU853,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__Tepidisphaeraceae,g__Tepidisphaera
OTU854,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__Micavibrionaceae,g__uncultured
OTU855,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Kuenenbacteria,f__Candidatus_Kuenenbacteria,g__Candidatus_Kuenenbacteria
OTU856,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__URHD0088,g__URHD0088
OTU857,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011_GWC1_47_15,g__GW2011_GWC1_47_15
OTU858,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,__,__,__
OTU859,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Filimonas
OTU860,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Gallionellaceae,__
OTU861,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Rheinheimera
OTU862,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Jiangella
OTU863,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Anaerovoracaceae,g__Anaerovorax
OTU864,d__Bacteria,p__Firmicutes,c__Thermacetogenia,o__Thermacetogeniales,f__Thermacetogeniaceae,g__Thermacetogenium
OTU865,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia
OTU866,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__Tepidisphaerales,g__Tepidisphaerales
OTU867,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_8
OTU868,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__SM1A07,f__SM1A07,g__SM1A07
OTU869,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Oxyphotobacteria_Incertae_Sedis,f__Unknown_Family,g__Leptolyngbya_EcFYyyy-00
OTU870,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__Candidatus_Pacebacteria,f__Candidatus_Pacebacteria,g__Candidatus_Pacebacteria
OTU871,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prolixibacteraceae,g__WCHB1-32
OTU872,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Phormidiaceae,g__Trichocoleus_SAG_26.92
OTU873,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Tabrizicola
OTU874,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Demequinaceae,g__Demequina
OTU875,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidetes_vadinHA17,g__Bacteroidetes_vadinHA17
OTU876,d__Bacteria,p__Firmicutes,c__Thermaerobacteria,o__Thermaerobacterales,f__Thermaerobacteraceae,g__Thermaerobacter
