,Domain,Phylum,Class,Order,Family,Genus
OTU167,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Microlunatus
OTU168,d__Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__Gitt-GS-136,f__Gitt-GS-136,g__Gitt-GS-136
OTU169,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__uncultured
OTU170,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__A4b
OTU171,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,__,__
OTU172,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Candidatus_Peribacteria,f__Candidatus_Peribacteria,g__Candidatus_Peribacteria
OTU173,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Agromyces
OTU174,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__SWB02
OTU175,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,__,__
OTU176,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Paraclostridium
OTU177,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Cellulomonadaceae,g__Cellulomonas
OTU178,d__Bacteria,p__Myxococcota,c__Polyangia,o__Blfdi19,f__Blfdi19,g__Blfdi19
OTU179,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Phaselicystidaceae,g__Phaselicystis
OTU180,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__uncultured
OTU181,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast
OTU182,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Steroidobacter
OTU183,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Polaromonas
OTU184,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__RBG-13-54-9,f__RBG-13-54-9,g__RBG-13-54-9
OTU185,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,__
OTU186,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia
OTU187,d__Bacteria,p__Acidobacteriota,c__Subgroup_5,o__Subgroup_5,f__Subgroup_5,g__Subgroup_5
OTU188,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__uncultured,f__uncultured,g__uncultured
OTU189,d__Bacteria,p__Chloroflexi,c__Anaerolineae,__,__,__
OTU190,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,g__Planifilum
OTU191,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Subgroup_2,f__Subgroup_2,g__Subgroup_2
OTU192,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,__,__
OTU193,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,__,__,__
OTU194,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavisolibacter
OTU195,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Tsukamurellaceae,g__Tsukamurella
OTU196,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiales_Incertae_Sedis,g__Nordella
OTU197,d__Bacteria,p__Myxococcota,c__Polyangia,__,__,__
OTU198,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__Pajaroellobacter
OTU199,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,__
OTU200,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__KD3-10
OTU201,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Oceanobacillus
OTU202,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae,g__Litorilinea
OTU203,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,__
OTU204,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__uncultured,g__uncultured
OTU205,d__Bacteria,p__Planctomycetota,__,__,__,__
OTU206,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__CCM19a,f__CCM19a,g__CCM19a
OTU207,d__Bacteria,p__Gemmatimonadota,c__AKAU4049,o__AKAU4049,f__AKAU4049,g__AKAU4049
OTU208,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Ahniella
OTU209,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__PAUC26f,f__PAUC26f,g__PAUC26f
OTU210,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__R7C24,f__R7C24,g__Acidibacter
OTU211,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__KD3-93,g__KD3-93
OTU212,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade
OTU213,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Chthoniobacter
OTU214,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Roseisolibacter
OTU215,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Euzebyales,f__Euzebyaceae,g__Euzebya
OTU216,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrososphaera
OTU217,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,__
OTU218,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Subgroup_17,f__Subgroup_17,g__Subgroup_17
OTU219,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__uncultured,g__uncultured
OTU220,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Vulgatibacteraceae,g__Vulgatibacter
OTU221,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,__
