,ITS_1,ITS_2,ITS_3,ITS_4,ITS_5,ITS_6,ITS_7,ITS_9,ITS_10,ITS_11,ITS_13,ITS_14,ITS_15,ITS_16,ITS_17,ITS_18,ITS_19,ITS_20,ITS_21,ITS_22,ITS_23,ITS_24,ITS_25,ITS_26,ITS_27,ITS_28,ITS_29,ITS_30,ITS_31,ITS_32,ITS_33,ITS_34,ITS_35,ITS_36,ITS_37,ITS_38,ITS_39,ITS_40,ITS_41,ITS_42,ITS_43,ITS_44,ITS_45,ITS_46,ITS_47,ITS_48,ITS_49,ITS_50,ITS_51,ITS_52,ITS_53,ITS_54,ITS_55,ITS_56,ITS_57,ITS_58,ITS_59,ITS_60
OTU613,0.01294841,0.003067043,0.004925702,0.005570303,0.003217181,0.004262737,0.00342907,0.0015669,0.00160294,0.001644511,0.000556014,0.000148984,0.000286944,0,0,0,0,0.000590062,0.000267237,0.001001842,8.27E-05,0.002928627,0.002905688,0,0.000690342,0.005272903,0.004248788,0.001216553,0.001658705,0,0.001889112,0.000175042,0.0107545,0.00049906,0,0.000161188,0,0.000269866,0.000184272,0,0.000305549,0.000433261,0,0,0,0.000563709,0,0,0,0,0,0.000195247,0.004772037,0.00039303,0.000656959,0,0.002267051,0.00221096
OTU614,0,0,0,6.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05E-05,0,0
OTU615,0,0,0,0,0,0,0,5.29E-05,0,4.98E-05,0.000127089,3.19E-05,0,0,0,0.000110267,0,9.32E-05,0,8.48E-05,0,0,0,0,0,0,0,0,0,0,0,0,4.21E-05,0,0,0,0,0,0,0,0,0,0,0.000322629,0,0,0.000165791,0,0,0,0,0,0,0,0,0,0,0
OTU616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU617,0.000352925,0,0.00153965,0.000174072,0.000470984,0.000352876,2.97E-05,0.000550533,0,0,0,0,0,0,0,0,0.000741412,0,0.000112521,0,0.00025457,0.001657872,0.007037802,0.000474806,0.000371723,0.000817336,0.000411777,0,0.011594989,0,0,0,0.000210597,0.000361022,0.00253503,0.005956611,0.001093701,0,0,0.001441154,0,0.000270788,0,0.001129203,0.000467578,0.000556918,0,0.000450505,0.000127369,0,8.22E-05,0.000256262,6.67E-05,0,0,0.000312333,0,9.07E-05
OTU618,0.000125484,0,0.00024776,0,0,0,0.000287408,0,0,0,0,0.000117059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU619,0.007497686,0.009382648,0.00277845,0.005100309,0.002420132,0.003535813,0.002556936,0.001376331,0.00251221,0.00047342,0.006084387,0.001734596,0.029374009,0.013396891,0.007247344,0.003623074,0.010338578,0.002003106,0.019325438,0.00660445,0.015554198,0.010443754,0.000839631,0.00395954,0.001154995,0.001280252,0.005072342,0.004372179,0.000773531,0.005246532,0.001629234,0.001125272,0.007567461,0.005096786,0.00468807,0.004762358,0.008306408,0.010079866,0.003121113,0.00829713,0.000743502,0.001093985,0.000400912,0,0,0.001589253,0.001790546,0.000901011,0.00142835,0.014057009,0.001701275,0.00045761,0.004310943,0.000277433,0.000537982,0.010215586,0.000581917,0.002590791
OTU620,0,0,0,0,0,0,0,0,0,0,0,0,7.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11E-05,0,0,0,0,0,0,0,0,0.000305073,0,0,0,0,0,0
OTU621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000269866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU622,0,0,0,0,0,0,0,0,0,0,0,0,6.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001120477,0,0,0,0,0,0,0
OTU623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78E-05,0,0,0,0,0,0,0.000199906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU625,0,0,0,0,0.00012318,0,0,3.18E-05,0,0,0,4.26E-05,0,0,0,0,0,0.000636646,0.000126586,0.000246607,0.000260934,0.000950962,9.43E-05,0,0,0.004332605,0,0,0.000271135,0,0,0.001050254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112626,0,0.002106835,0.000195313,0.000964032,0,0,0,0,4.85E-05,0
OTU626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136467,0,0,0,0,0,0,0,0,0
OTU627,0.001584239,0.004681935,0.001457064,0.001679795,0.000912984,0.000663406,0.002893897,0.001471616,0.003927671,0.003936861,0.002351147,0.002138981,0.001917994,0.002907243,0,0.002914212,0.005313453,0.00265528,0.005063434,0.003945716,0.009877297,0.006404268,0.000207549,0.000618943,0.000876203,0.001873364,0,0.000487856,0.00052632,0,0.001069497,0,0.000280796,0.000605243,0.001354331,0.00311385,0.001558345,0.003683308,0.002798636,0.001490125,0.002098102,0.002599569,0.002131161,0.000897313,0.002893692,0.003164922,0.014198366,0.002027274,0.00175587,0.009817594,0.003957648,0.004429665,0.001283283,0.003063318,0.00016036,0.000693228,0.000587979,0.000663288
OTU628,0.019983373,0.008462535,0.020056749,0.030392967,0.014028071,0.019295237,0.013191017,0.005939399,0.015954405,0.0047342,0.02457584,0.022475258,0.02032772,0.01917209,0.009821376,0.032166598,0.008073153,0.022406832,0.03995893,0.015004508,0.016521562,0.015493112,0.009056689,0.008665203,0.018108198,0.010430078,0.008113875,0.112077217,0.006977727,0.00921688,0.031775066,0.005801402,0.005040294,0.006286036,0.002396125,0.017818547,0.011937781,0.041209292,0.01705671,0.062431353,0.033620549,0.02128397,0.046934785,0.02091042,0.015562417,0.020082994,0.001962969,0.01053995,0.004457909,0.056159381,0.009590872,0.024210623,0.014238335,0.023408375,0.003434808,0.02689114,0.010547244,0.01331111
OTU629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000417622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU630,0,0,0,0,0,0,0,0,7.50E-05,0.000211793,0,0,7.55E-05,0,0,0,0,3.11E-05,0,2.31E-05,0,0,0,0,0,0,2.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000291134,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002468944,0,0,0,0,0,0,0,0,0.000636382,0,0,0,0,0,0,0,0.001145973,0,0,0,0.004572258,0,0,0,0,0,0,0,0,0,0,0.000587854,0,0,0,0,0,0,0,0
OTU633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03E-05,0,0,0,0,0,0,0
OTU634,0,0,0,0,0,0,0.000198212,0,0,0,0.000111203,8.51E-05,0,6.55E-05,0,0,0,0,0,0.003552685,0,0,8.49E-05,0.000474806,0.000212413,0,0.000177813,0,0.000167465,0,0,0,0,0,5.21E-05,0,0,0.000488677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129504,0,0
